Device_Name,Normalized_SoC,GPU Score,Antutu_AI_Score,Device_AI_Kernel_Latency_ms,GPU_Percentile,Theoretical_Max_AI_Ops_Per_Frame
nubia Z80 Ultra,snapdragon 8 elite gen 5,1352477.0,2609285,5.667532103581807,1.0,2
HONOR Magic8 Pro,snapdragon 8 elite gen 5,1352477.0,2578227,5.735804684728868,1.0,2
OnePlus 15,snapdragon 8 elite gen 5,1352477.0,2565676,5.763863599649548,1.0,2
iQOO 15,snapdragon 8 elite gen 5,1352477.0,2529113,5.847190894552539,1.0,2
Poco F8 Ultra,snapdragon 8 elite gen 5,1352477.0,2457856,6.016709890609724,1.0,2
REDMI K90 Pro Max,snapdragon 8 elite gen 5,1352477.0,2444099,6.05057589929641,1.0,2
Red Magic 11 Pro,snapdragon 8 elite gen 5,1352477.0,2581353,5.728858666325162,1.0,2
OnePlus 13,snapdragon 8 elite,1095845.0,1970920,7.503199777207829,0.8102503776404331,1
Mi 17 Pro Max,snapdragon 8 elite gen 5,1352477.0,1574149,9.394413429030196,1.0,1
REDMI K80,snapdragon 8 gen 3,751867.0,1612108,9.173210792883886,0.5559185109987083,1
Mi 14,snapdragon 8 gen 3,751867.0,1613071,9.167734405301722,0.5559185109987083,1
HONOR Magic 7 Pro,snapdragon 8 elite,1095845.0,1931683,7.655607314913708,0.8102503776404331,1
REDMI K80 Pro,snapdragon 8 elite,1095845.0,1949498,7.585648461755004,0.8102503776404331,1
Mi 15,snapdragon 8 elite,1095845.0,1939294,7.625561933824606,0.8102503776404331,1
OnePlus Ace 6,snapdragon 8 elite,1095845.0,1991597,7.425300653141401,0.8102503776404331,1
REDMI K90,snapdragon 8 elite,1095845.0,2007925,7.364919757906524,0.8102503776404331,1
Mi 15 Pro,snapdragon 8 elite,1095845.0,2013760,7.3435794259963725,0.8102503776404331,1
iQOO 13,snapdragon 8 elite,1095845.0,2017206,7.331034363815324,0.8102503776404331,1
iQOO Neo11,snapdragon 8 elite,1095845.0,2021936,7.313884566521618,0.8102503776404331,1
OnePlus Ace 5 Pro,snapdragon 8 elite,1095845.0,1991934,7.424044423607637,0.8102503776404331,1
iQOO Neo10 Pro+,snapdragon 8 elite,1095845.0,2021959,7.313801370301997,0.8102503776404331,1
Poco F6,snapdragon 8s gen 3,488374.0,750816,19.69617923019016,0.3610959742753481,0
Mi 13,snapdragon 8 gen 2,414452.0,1184349,12.486358754804922,0.30643922225664466,0
iQOO Neo9,snapdragon 8 gen 2,414452.0,1152168,12.835113025960151,0.30643922225664466,0
OnePlus Ace 3,snapdragon 8 gen 2,414452.0,1145712,12.907437911878777,0.30643922225664466,0
Redmi Turbo 3,snapdragon 8s gen 3,488374.0,768409,19.245228133577896,0.3610959742753481,0
Redmi Note 12 Turbo,snapdragon 7+ gen 2,163487.0,700293,21.117170248588028,0.1208796896361269,0
OnePlus Nord 5,snapdragon 8s gen 3,488374.0,703123,21.03217574292756,0.3610959742753481,0
Mi 13 Lite,snapdragon 7 gen 1,106936.0,376657,39.26173283622621,0.07906677895446651,0
Redmi K40,snapdragon 870,186250.0,126468,116.93239795754226,0.13771029008256702,0
Mi 13 Ultra,snapdragon 8 gen 2,414452.0,1197703,12.347139904379011,0.30643922225664466,0
Redmi K70,snapdragon 8 gen 2,414452.0,1186850,12.460046766562291,0.30643922225664466,0
iQOO Neo10,snapdragon 8 gen 3,751867.0,1587552,9.315100547821082,0.5559185109987083,0
REDMI Turbo 4 Pro,snapdragon 8s gen 4,766340.0,1336536,11.064577762884394,0.566619617191272,0
Poco F7,snapdragon 8s gen 4,766340.0,1344549,10.998637093102932,0.566619617191272,0
OPPO K13 Turbo Pro 5G,snapdragon 8s gen 4,766340.0,1363181,10.84830738170093,0.566619617191272,0
iQOO Z10 Turbo Pro,snapdragon 8s gen 4,766340.0,1377380,10.736475413389519,0.566619617191272,0
iQOO Neo 10,snapdragon 8s gen 4,766340.0,1378721,10.726032681662538,0.566619617191272,0
HONOR 400 Pro,snapdragon 8 gen 3,751867.0,1454195,10.169342147988718,0.5559185109987083,0
OnePlus Ace 5,snapdragon 8 gen 3,751867.0,1541999,9.590282811399005,0.5559185109987083,0
Mi 14 Ultra,snapdragon 8 gen 3,751867.0,1575262,9.387775814368947,0.5559185109987083,0
iQOO 12,snapdragon 8 gen 3,751867.0,1588871,9.307367624492143,0.5559185109987083,0
Mi 14 Pro,snapdragon 8 gen 3,751867.0,1595386,9.269359581251468,0.5559185109987083,0
iQOO Neo5,snapdragon 870,186250.0,123726,119.52383900630794,0.13771029008256702,0
