Platform,Category,Device Type,Device,CPU Score,GPU Score,MEM Score,UX Score,Total Score
Android,Performance,Smartphone,1Red Magic 11 Pro (S-8 Elite Gen 5 16+512),1237453,1405956,501650,857140,4002199
Android,Performance,Smartphone,2iQOO 15 (S-8 Elite Gen 5 16+512),1094075,1382980,422169,864244,3763468
Android,Performance,Smartphone,3Poco F8 Ultra (S-8 Elite Gen 5 16+512),1110316,1378674,503280,763600,3755870
Android,Performance,Smartphone,4OnePlus 15 (S-8 Elite Gen 5 16+512),1129775,1319203,428136,800696,3677810
Android,Performance,Smartphone,5vivo X300 Pro (M-9500 16+512),1004513,1308399,373475,705402,3391789
Android,Performance,Smartphone,6OPPO Find X9 Pro (M-9500 16+512),1011522,1260602,370683,732395,3375202
Android,Performance,Smartphone,7iQOO Neo11 (S-8 Elite 12+256),954675,1142799,435946,670798,3204218
Android,Performance,Smartphone,8OPPO Find X9 (M-9500 12+256),930222,1187584,368688,691483,3177977
Android,Performance,Smartphone,9iQOO 13 (S-8 Elite 16+512),934445,1147026,411510,660368,3153349
Android,Performance,Smartphone,10Poco F8 Pro (S-8 Elite 12+512),946315,1129372,417169,611898,3104754
Android,Performance,Smartphone,11iQOO Neo10 Pro+ (S-8 Elite 12+256),934810,1131257,368106,646884,3081057
Android,Performance,Smartphone,12Mi 15 (S-8 Elite 12+512),913708,1092438,396312,596758,2999216
Android,Performance,Smartphone,13Mi 15 Ultra (S-8 Elite 16+512),896407,1084452,416654,587510,2985023
Android,Performance,Smartphone,14OnePlus 13 (S-8 Elite 16+512),859932,1091545,392363,641141,2984981
Android,Performance,Smartphone,15Poco F7 Ultra (S-8 Elite 16+512),885039,1089527,418448,579199,2972213
Android,Performance,Smartphone,16Galaxy S25 Ultra (S-8 Elite OC 12+256),942812,1049459,351060,573745,2917076
Android,Performance,Smartphone,17Galaxy S25+ (S-8 Elite OC 12+256),909849,1051872,356837,568643,2887201
Android,Performance,Smartphone,18iQOO Z10 Turbo+ (M-9400+ 12+256),846854,991301,393142,639160,2870457
Android,Performance,Smartphone,19vivo X300 (M-9500 12+256),809109,1105180,344264,592005,2850558
Android,Performance,Smartphone,20OnePlus 15R (S-8 Gen 5 12+256),934511,891201,375269,637215,2838196
Android,Performance,Smartphone,21vivo X200 Pro (M-9400 12+256),864937,944368,333896,588388,2731589
Android,Performance,Smartphone,22Galaxy S25 (S-8 Elite OC 12+256),839709,991866,333119,544404,2709098
Android,Performance,Smartphone,23vivo X200 Pro mini (M-9400 12+256),827538,929414,334845,586817,2678614
Android,Performance,Smartphone,24Mi 15T Pro (M-9400+ 12+512),772447,920649,376462,572590,2642148
Android,Performance,Smartphone,25HONOR Magic 7 Pro (S-8 Elite 12+512),600967,1118680,353277,478185,2551109
Android,Performance,Smartphone,26realme GT 7 (M-9400e 12+256),747019,790499,335063,565854,2438435
Android,Performance,Smartphone,27iQOO Z10 Turbo Pro (S-8s Gen 4 12+256),703212,810533,343285,497795,2354825
Android,Performance,Smartphone,28OnePlus Ace 5 (S-8 Gen 3 12+256),656521,810017,334610,539848,2340996
Android,Performance,Smartphone,29Mi 14 (S-8 Gen 3 12+512),678402,797545,351389,511678,2339014
Android,Performance,Smartphone,30OnePlus 13R (S-8 Gen 3 12+256),650112,800616,355862,530613,2337203
Android,Performance,Smartphone,31iQOO Neo10 (S-8 Gen 3 12+256),688112,797715,326614,524617,2337058
Android,Performance,Smartphone,32iQOO Neo 10 (S-8s Gen 4 8+256),683937,791182,343365,505611,2324095
Android,Performance,Smartphone,33REDMI Turbo 4 Pro (S-8s Gen 4 12+256),652846,784997,363296,450372,2251511
Android,Performance,Smartphone,34Mi 14T Pro (M-9300+ 12+512),674044,695254,349228,502481,2221007
Android,Performance,Smartphone,35Galaxy S24 Ultra (S-8 Gen 3 OC 12+256),704730,720528,317219,478394,2220871
Android,Performance,Smartphone,36HONOR 400 Pro (S-8 Gen 3 12+512),647502,728863,333010,501193,2210568
Android,Performance,Smartphone,37Poco F7 (S-8s Gen 4 12+512),633883,778918,360580,424216,2197597
Android,Performance,Smartphone,38Poco F7 Pro (S-8 Gen 3 12+512),624693,741280,340740,485144,2191857
Android,Performance,Smartphone,39iQOO Z10 Turbo (M-8400 12+256),650154,589345,295890,492555,2027944
Android,Performance,Smartphone,40Galaxy S25 FE (E-2400 8+256),708209,604527,308079,399760,2020575
Android,Performance,Smartphone,41Galaxy S24+ (E-2400 12+256),665808,564197,290765,398812,1919582
Android,Performance,Smartphone,42Galaxy S24 (E-2400 8+256),662991,584681,281594,387055,1916321
Android,Performance,Smartphone,43Galaxy S24 FE (E-2400 8+256),639330,571847,291054,387740,1889971
