Platform,Category,Device,CPU Score,GPU Score,Total Score
Android,SoC,"1


                                    Qualcomm Snapdragon 8 Elite Gen 5                                

                                    (2x 4.6GHz Oryon Prime & 6x 3.62GHz Oryon Performance)",1096583,1352477,2449060
Android,SoC,"2


                                    MediaTek Dimensity 9500                                

                                    (1x 4.21GHz C1-Ultra & 3x 3.5GHz C1-Premiuim & 4x 2.7GHz C1-Pro)",941111,1378850,2319961
Android,SoC,"3


                                    Qualcomm Snapdragon 8 Elite                                

                                    (2x 4.32GHz Oryon Prime & 6x 3.53GHz Oryon Performance)",894572,1095845,1990417
Android,SoC,"4


                                    Qualcomm Snapdragon 8 Gen 5                                

                                    (2x 3.8GHz Oryon Prime & 6x 3.32GHz Oryon Performance)",939588,993655,1933243
Android,SoC,"5


                                    MediaTek Dimensity 9400+                                

                                    (1x 3.73GHz Cortex-X925 & 3x 3.3GHz Cortex-X4 & 4x 2.4GHz Cortex-A720)",822773,974650,1797423
Android,SoC,"6


                                    MediaTek Dimensity 9400                                

                                    (1x 3.626GHz Cortex-X925 & 3x 3.3GHz Cortex-X4 & 4x 2.4GHz Cortex-A720)",842873,945966,1788839
Android,SoC,"7


                                    Mi XRing O1                                

                                    (2x 3.9GHz Cortex-X925 & 4x 3.4GHz Cortex-A725 & 2x 1.9GHz Cortex-A725 & 2x 1.8GHz Cortex-A520)",856631,725956,1582587
Android,SoC,"8


                                    MediaTek Dimensity 9400e                                

                                    (1x 3.4GHz Cortex-X4 & 3x 2.85GHz Cortex-X4 & 4x 2.0GHz Cortex-A720)",716862,782970,1499832
Android,SoC,"9


                                    Samsung Exynos 2500                                

                                    (1x 3.3GHz Cortex-X925 & 2x 2.36GHz Cortex-A725 & 5x 1.8GHz Cortex-A725 & 2x 1.8GHz Cortex-A520)",636465,801261,1437726
Android,SoC,"10


                                    Qualcomm Snapdragon 8s Gen 4                                

                                    (1x 3.2GHz Cortex-X4 & 3x 3.0GHz Cortex-A720 & 2x 2.8GHz Cortex-A720 & 2x 2.0GHz Cortex-A720)",650093,766340,1416433
Android,SoC,"11


                                    MediaTek Dimensity 9300+                                

                                    (1x 3.4GHz Cortex-X4 & 3x 2.85GHz Cortex-X4 & 4x 2.0GHz Cortex-A720)",672888,710095,1382983
Android,SoC,"12


                                    Qualcomm Snapdragon 8 Gen 3                                

                                    (1x 3.3GHz Cortex-X4 & 3x 3.15GHz Cortex-A720 & 2x 2.96GHz Cortex-A720 & 2x 2.27GHz Cortex-A520)",620662,751867,1372529
Android,SoC,"13


                                    MediaTek Dimensity 9300                                

                                    (1x 3.25GHz Cortex-X4 & 3x 2.85GHz Cortex-X4 & 4x 2.0GHz Cortex-A720)",659488,684599,1344087
Android,SoC,"14


                                    Samsung Exynos 2400                                

                                    (1x 3.2GHz Cortex-X4 & 2x 2.9GHz Cortex-A720 & 3x 2.6GHz Cortex-A720 & 4x 1.95GHz Cortex-A520)",640245,624993,1265238
Android,SoC,"15


                                    MediaTek Dimensity 8450                                

                                    (1x 3.25GHz Cortex-A725 & 3x 3.0GHz Cortex-A725 & 4x 2.1GHz Cortex-A725)",605367,627849,1233216
Android,SoC,"16


                                    MediaTek Dimensity 8400-Turbo                                

                                    (1x 3.25GHz Cortex-A725 & 3x 3.0GHz Cortex-A725 & 4x 2.1GHz Cortex-A725)",633378,599160,1232538
Android,SoC,"17


                                    MediaTek Dimensity 8400-Max                                

                                    (1x 3.25GHz Cortex-A725 & 3x 3.0GHz Cortex-A725 & 4x 2.1GHz Cortex-A725)",621768,571333,1193101
Android,SoC,"18


                                    MediaTek Dimensity 8400-Ultra                                

                                    (1x 3.25GHz Cortex-A725 & 3x 3.0GHz Cortex-A725 & 4x 2.1GHz Cortex-A725)",593420,560534,1153954
Android,SoC,"19


                                    Qualcomm Snapdragon 8s Gen 3                                

                                    (1x 3.0GHz Cortex-X4 & 4x 2.8GHz Cortex-A720  & 3x 2.0GHz Cortex-A520)",535562,488374,1023936
Android,SoC,"20


                                    MediaTek Dimensity 9200+                                

                                    (1x 3.35GHz Cortex-X3 & 3x 3.0GHz Cortex-A715 & 4x 2.0GHz Cortex-A510)",515261,507250,1022511
Android,SoC,"21


                                    MediaTek Dimensity 9200                                

                                    (1x 3.05GHz Cortex-X3 & 3x 2.85GHz Cortex-A715 & 4x 1.8GHz Cortex-A510)",509636,493526,1003162
