Platform,Category,Device,CPU Score,GPU Score,MEM Score,UX Score,Total Score
iOS,iOS Performance,1iPad Pro 2025 (13-inch) (M5 (9-core) 12+256),1046258,1272363,423541,456362,3198524
iOS,iOS Performance,2iPad Pro 2025 (11-inch) (M5 (9-core) 12+256),1036433,1285161,425017,447653,3194264
iOS,iOS Performance,3iPad Pro 2024 (11-inch) (M4 (9-core) 8+256),1119392,1115168,335399,408858,2978817
iOS,iOS Performance,4iPad Pro 2024 (13-inch) (M4 (9-core) 8+256),1127981,1091346,336991,417950,2974268
iOS,iOS Performance,5iPhone 17 Pro Max (A19 Pro 12+256),837255,933483,278235,385737,2434710
iOS,iOS Performance,6iPad Air 2025 (13-inch) (M3 8+256),855532,853841,317923,393439,2420735
iOS,iOS Performance,7iPhone 17 Pro (A19 Pro 12+256),819949,920455,277218,381760,2399382
iOS,iOS Performance,8iPad Air 2025 (11-inch) (M3 8+256),815034,837491,315515,389534,2357574
iOS,iOS Performance,9iPad Pro 6 (12.9-inch) (M2 8+256),806933,901633,303446,336960,2348972
iOS,iOS Performance,10iPad Air 2024 (13-inch) (M2 8+128),817898,826065,280908,348175,2273046
iOS,iOS Performance,11iPad Pro 4 (11-inch) (M2 8+128),795298,797563,270968,342124,2205953
iOS,iOS Performance,12iPhone 17 (A19 8+256),790682,801915,210402,369966,2172965
iOS,iOS Performance,13iPad Air 2024 (11-inch) (M2 8+128),773893,783901,269548,341227,2168569
iOS,iOS Performance,14iPhone 16 Pro (A18 Pro 8+256),761444,636940,237486,362248,1998118
iOS,iOS Performance,15iPhone 16 Pro Max (A18 Pro 8+256),771927,627564,228206,364335,1992032
iOS,iOS Performance,16iPhone Air (A19 Pro 12+256),677460,648850,297150,362403,1985863
iOS,iOS Performance,17iPad Pro 5 (12.9-inch) (M1 8+256),601453,732092,269024,323544,1926113
iOS,iOS Performance,18iPad Pro 3 (11-inch) (M1 8+128),605916,727551,214222,324344,1872033
iOS,iOS Performance,19iPhone 16 Plus (A18 8+128),727795,619374,176255,342601,1866025
iOS,iOS Performance,20iPhone 16 (A18 8+128),722887,619543,177477,340323,1860230
iOS,iOS Performance,21iPad Air 5 (M1 8+256),597817,676086,228382,326574,1828859
iOS,iOS Performance,22iPhone 15 Pro (A17 Pro 8+256),617072,532185,264710,343669,1757636
iOS,iOS Performance,23iPad mini 7 (A17 Pro 8+128),646060,500290,253475,350319,1750144
iOS,iOS Performance,24iPhone 15 Pro Max (A17 Pro 8+256),607614,514500,258782,344968,1725864
iOS,iOS Performance,25iPhone 14 Pro (A16 6+256),602903,474964,270631,330667,1679165
iOS,iOS Performance,26iPhone 14 Pro Max (A16 6+256),600030,463581,266863,332123,1662597
iOS,iOS Performance,27iPad 11 (A16 6+128),631828,435723,265180,323684,1656415
iOS,iOS Performance,28iPhone 15 (A16 6+128),588880,446573,247614,307775,1590842
iOS,iOS Performance,29iPhone 15 Plus (A16 6+128),586867,438141,248880,308063,1581951
iOS,iOS Performance,30iPhone 16e (A18 8+128),598822,468387,174329,335388,1576926
iOS,iOS Performance,31iPhone 14 (A15 6+128),538495,452226,222698,307691,1521110
iOS,iOS Performance,32iPhone 13 Pro Max (A15 6+256),528575,436841,232094,318129,1515639
iOS,iOS Performance,33iPhone 13 Pro (A15 6+256),518615,438178,234934,315682,1507409
iOS,iOS Performance,34iPhone 14 Plus (A15 6+128),538776,431918,221849,306386,1498929
iOS,iOS Performance,35iPad mini 6 (A15 4+64),556955,420407,181332,300256,1458950
iOS,iOS Performance,36iPhone 13 (A15 4+128),506300,390201,216282,299843,1412626
iOS,iOS Performance,37iPhone 13 mini (A15 4+128),489089,391506,215829,296850,1393274
iOS,iOS Performance,38iPad Air 4 (A14 4+64),513013,393879,147552,279724,1334168
iOS,iOS Performance,39iPhone SE3 (A15 4+64),447004,335998,187758,291990,1262750
iOS,iOS Performance,40iPhone 12 Pro Max (A14 6+128),456601,327107,171535,298770,1254013
iOS,iOS Performance,41iPad 10 (A14 4+64),468990,323091,134803,292920,1219804
iOS,iOS Performance,42iPhone 12 Pro (A14 6+128),424813,322462,169428,293387,1210090
iOS,iOS Performance,43iPhone 12 (A14 4+128),422104,321757,169346,290548,1203755
iOS,iOS Performance,44iPad Pro 3 (12.9-inch) (A12X 4+256),319791,453707,178423,238351,1190272
iOS,iOS Performance,45iPhone 12 mini (A14 4+128),413740,312105,170065,288320,1184230
iOS,iOS Performance,46iPad Pro 4 (12.9-inch) (A12Z 6+128),312134,456181,152267,253513,1174095
iOS,iOS Performance,47iPad Pro 2 (11-inch) (A12Z 6+128),315184,456389,150845,247291,1169709
iOS,iOS Performance,48iPad Pro (11-inch) (A12X 4+256),313428,419978,177103,233077,1143586
iOS,iOS Performance,49iPad 9 (A13 3+64),348245,293888,138552,267707,1048392
iOS,iOS Performance,50iPhone 11 Pro Max (A13 4+256),319686,306712,158325,251529,1036252
iOS,iOS Performance,51iPhone 11 Pro (A13 4+256),302976,299778,156947,246170,1005871
iOS,iOS Performance,52iPhone 11 (A13 4+128),262781,265150,141524,232730,902185
iOS,iOS Performance,53iPad Air 3 (A12 3+64),223686,243928,123104,227883,818601
iOS,iOS Performance,54iPad mini 5 (A12 3+64),218905,213249,122411,218640,773205
iOS,iOS Performance,55iPad 8 (A12 3+128),204844,203399,133597,230248,772088
iOS,iOS Performance,56iPhone SE2 (A13 3+64),220592,219764,123859,205708,769923
iOS,iOS Performance,57iPhone XS (A12 4+256),191791,168142,144304,233093,737330
iOS,iOS Performance,58iPhone XS Max (A12 4+256),192834,166394,144123,225428,728779
iOS,iOS Performance,59iPhone XR (A12 3+128),183906,152377,128064,220488,684835
iOS,iOS Performance,60iPad Pro 2 (12.9-inch) (A10X 4+256),197686,185318,90911,189044,662959
iOS,iOS Performance,61iPad Pro 2 (10.5-inch) (A10X 4+64),197234,163660,79690,130210,570794
iOS,iOS Performance,62iPad 7 (A10 3+128),148187,99717,69134,174801,491839
iOS,iOS Performance,63iPhone 8 (A11 2+64),143023,95678,94397,148121,481219
iOS,iOS Performance,64iPad 6 (A10 2+128),154203,85251,68071,102626,410151
iOS,iOS Performance,65iPhone 7 (A10 2+128),105848,71967,59351,94054,331220
iOS,iOS Performance,66iPhone SE (A9 2+32),99879,60470,49508,79898,289755
iOS,iOS Performance,67iPhone 6s (A9 2+64),92545,58081,45124,77191,272941
